date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1400,25,1724,10,1770,1,2500,1,0,0,0,0
'2016-12-16',1400,18,1849,11,1202,2,3125,3,0,0,0,0
'2016-12-17',1350,17,1749,8,2200,1,0,0,0,0,5075,2
'2016-12-18',1425,9,1674,8,887,2,0,0,0,0,0,0
'2016-12-19',1575,6,1749,4,2262,2,3125,2,0,0,0,0
'2016-12-20',1350,25,1749,8,2800,1,0,0,0,0,0,0
'2016-12-21',1350,20,1799,12,0,0,0,0,0,0,0,0
'2016-12-22',1395,23,1749,9,2325,3,3125,2,0,0,0,0
'2016-12-23',1599,27,1849,7,2200,3,0,0,0,0,5075,2
'2016-12-24',1547,26,1750,5,887,2,0,0,0,0,0,0
'2016-12-25',1741,8,1157,4,1102,2,3125,2,0,0,0,0
'2016-12-26',1892,7,1102,2,1102,2,3500,1,0,0,0,0
