date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1366,9,1425,14,0,0,1850,2,0,0,0,0
'2016-12-16',1260,11,1463,14,1575,2,1872,2,0,0,0,0
'2016-12-17',1260,5,1360,8,1650,1,1850,2,0,0,0,0
'2016-12-18',1331,9,1432,12,1650,1,1850,4,0,0,0,0
'2016-12-19',1260,5,1425,24,1835,2,1850,4,0,0,0,0
'2016-12-20',1260,3,1380,9,1580,1,0,0,0,0,0,0
'2016-12-21',1260,8,1425,26,0,0,1850,3,0,0,0,0
'2016-12-22',1308,9,1460,13,1700,1,1850,3,0,0,0,0
'2016-12-23',1260,5,1319,6,1600,1,0,0,0,0,0,0
'2016-12-24',1260,7,1490,8,0,0,1850,4,0,0,0,0
'2016-12-25',1345,3,1460,3,1700,1,1850,1,0,0,0,0
'2016-12-26',0,0,0,0,0,0,1850,2,0,0,0,0
'2016-12-27',1260,7,1425,25,1591,1,1850,4,0,0,0,0
'2016-12-28',1319,9,1490,1,1700,1,1850,1,0,0,0,0
'2016-12-29',1260,8,1490,13,0,0,1850,4,0,0,0,0
'2016-12-30',1297,8,1425,26,1562,2,1850,2,0,0,0,0
'2016-12-31',1265,2,1495,5,1650,1,1850,1,0,0,0,0
'2017-01-01',1260,3,1425,22,0,0,1850,1,0,0,0,0
'2017-01-02',0,0,0,0,0,0,1850,1,0,0,0,0
'2017-01-03',1260,8,1460,5,1700,1,1850,4,0,0,0,0
