date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1528,9,1425,7,2295,4,0,0,0,0,0,0
'2016-12-16',1584,10,1899,8,1828,2,2400,1,2562,2,0,0
'2016-12-17',1528,16,1850,3,1885,6,1650,1,1125,1,0,0
'2016-12-18',1495,11,1600,15,1825,3,0,0,1625,1,0,0
'2016-12-19',1497,10,1388,5,1525,2,2400,1,0,0,0,0
'2016-12-20',1529,15,1847,3,1697,3,4050,1,3500,1,0,0
'2016-12-21',1559,11,1600,8,1848,2,1650,1,1375,2,0,0
'2016-12-22',1543,12,1847,5,1935,8,3225,2,3500,1,0,0
'2016-12-23',1610,15,1773,8,1750,2,0,0,0,0,0,0
'2016-12-24',1559,15,1910,5,2717,6,4050,1,0,0,0,0
'2016-12-25',1584,10,1805,7,1810,5,2400,1,0,0,0,0
'2016-12-26',1460,1,1675,2,1650,2,1650,1,0,0,0,0
