date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',2474,23,2099,16,4500,1,0,0,0,0,0,0
'2016-12-16',2184,33,2572,14,1325,3,0,0,0,0,0,0
'2016-12-17',2299,18,2650,18,2262,2,0,0,0,0,0,0
'2016-12-18',2100,17,4184,22,0,0,0,0,0,0,0,0
'2016-12-19',2299,12,2622,14,3100,1,0,0,0,0,0,0
'2016-12-20',2180,22,2575,18,3749,2,0,0,0,0,0,0
'2016-12-21',2299,22,1999,23,1325,3,0,0,0,0,0,0
'2016-12-22',2088,28,2572,22,1212,2,0,0,0,0,0,0
'2016-12-23',2475,20,2597,20,1325,1,0,0,0,0,0,0
'2016-12-24',2051,14,2697,16,3100,1,0,0,0,0,0,0
