date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1502,2,1657,5,1770,2,0,0,0,0,0,0
'2016-12-16',1500,2,1630,3,1770,2,0,0,0,0,0,0
'2016-12-17',0,0,0,0,0,0,2100,1,0,0,0,0
'2016-12-18',1400,5,1638,2,1860,1,2500,1,0,0,0,0
'2016-12-19',1290,3,1560,1,2000,1,0,0,2495,1,0,0
'2016-12-20',1310,1,1550,3,1787,2,2500,1,0,0,0,0
'2016-12-21',1345,5,1590,5,1875,3,2100,1,0,0,0,0
'2016-12-22',1434,2,1616,4,1837,2,0,0,0,0,0,0
'2016-12-23',1422,2,1750,3,1910,1,2500,1,0,0,0,0
'2016-12-24',1430,2,1608,4,1947,2,2500,1,0,0,0,0
