date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',2140,8,2885,5,0,0,0,0,1723,1,0,0
'2016-12-16',1697,10,2870,4,8157,3,0,0,0,0,0,0
'2016-12-17',2067,8,3430,9,5958,2,0,0,6,1,0,0
'2016-12-18',2165,7,2485,5,0,0,0,0,0,0,0,0
'2016-12-19',1950,10,2724,2,9403,1,0,0,0,0,0,0
'2016-12-20',2257,12,3377,12,0,0,0,0,0,0,0,0
'2016-12-21',2185,13,3510,7,8157,1,0,0,0,0,0,0
'2016-12-22',1855,10,3387,6,0,0,0,0,0,0,0,0
'2016-12-23',2310,11,3367,8,0,0,0,0,0,0,0,0
'2016-12-24',1950,15,3380,10,5772,2,0,0,0,0,0,0
