date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1385,36,1409,33,1657,16,2199,21,0,0,0,0
'2016-12-16',1335,29,1406,41,1673,12,1795,5,0,0,0,0
'2016-12-17',1391,27,1408,26,1812,16,2187,6,3500,1,0,0
'2016-12-18',1392,24,1409,23,1825,12,1850,9,0,0,0,0
'2016-12-19',1395,24,1408,17,1657,11,1850,7,0,0,0,0
'2016-12-20',1277,40,1402,31,1800,13,2199,11,0,0,0,0
'2016-12-21',1324,17,1408,35,1900,10,1850,9,3500,1,0,0
'2016-12-22',1339,31,1515,35,1925,16,1850,5,0,0,0,0
'2016-12-23',1360,28,1407,34,1889,12,1947,4,0,0,3500,1
'2016-12-24',1355,32,1375,30,1850,14,1850,7,3100,3,0,0
'2016-12-25',1360,15,1550,13,1667,11,1795,3,0,0,0,0
'2016-12-26',1323,8,1500,7,1875,8,2475,6,3500,1,0,0
'2016-12-27',1360,15,1466,14,1950,15,1850,5,1900,2,0,0
'2016-12-28',1300,38,1443,31,1677,13,1850,7,3500,1,0,0
'2016-12-29',1300,56,1408,85,1847,33,1850,18,2695,4,3500,2
