date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1506,16,1817,6,2250,5,2450,8,3000,3,0,0
'2016-12-16',1447,12,1654,11,1995,10,2300,7,2600,1,0,0
'2016-12-17',1525,20,1654,6,1950,10,2400,9,2547,2,0,0
'2016-12-18',1502,12,1684,7,1974,8,1950,6,0,0,0,0
'2016-12-19',1420,16,1850,3,1999,5,2272,12,3000,3,0,0
'2016-12-20',1528,12,1495,5,1925,11,2400,5,2800,1,0,0
'2016-12-21',1435,17,1590,7,1950,3,2000,9,0,0,0,0
'2016-12-22',1477,14,1595,10,1950,11,2000,9,2900,2,0,0
'2016-12-23',1495,19,1710,9,1897,6,2800,4,2993,1,3500,1
'2016-12-24',1495,19,1727,9,2300,10,1850,8,2295,1,0,0
'2016-12-25',1508,12,1585,5,1950,7,2500,5,0,0,0,0
'2016-12-26',1100,1,1456,3,1925,5,1850,4,2896,2,0,0
'2016-12-27',1448,14,1565,6,2009,12,2200,7,2475,2,0,0
'2016-12-28',1476,15,1850,11,1906,8,2422,8,2800,1,0,0
'2016-12-29',1495,13,1700,9,1925,5,1950,9,3000,1,3500,1
'2016-12-30',1610,7,1903,4,2160,8,1995,7,2375,2,0,0
'2016-12-31',1559,14,1850,6,1900,7,2295,9,3050,2,0,0
'2017-01-01',1520,10,1910,5,1550,4,2295,7,2800,1,0,0
'2017-01-02',1000,3,1397,2,1995,5,2547,8,3000,1,0,0
'2017-01-03',1559,7,1750,12,1900,5,1975,10,2800,1,0,0
'2017-01-04',1610,9,1707,11,2074,8,2595,9,0,0,0,0
'2017-01-05',1441,22,1850,13,1887,2,2295,7,0,0,3500,1
'2017-01-06',1495,11,1580,7,1983,5,2147,8,2800,1,0,0
'2017-01-07',1559,12,1700,12,1974,6,2297,10,0,0,0,0
'2017-01-08',1560,12,1882,6,1950,2,2200,9,3300,1,0,0
'2017-01-09',1442,8,1570,3,1800,3,2595,7,0,0,0,0
'2017-01-10',1559,12,1655,12,2500,3,2175,8,3150,2,0,0
