date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1530,2,1879,5,2595,1,0,0,1620,1,0,0
'2016-12-16',1565,1,1800,6,0,0,0,0,0,0,0,0
'2016-12-17',1435,2,1930,5,0,0,0,0,0,0,0,0
'2016-12-18',0,0,2350,2,0,0,0,0,0,0,0,0
'2016-12-19',0,0,1624,1,0,0,0,0,0,0,0,0
'2016-12-20',0,0,2375,3,1969,2,0,0,0,0,0,0
'2016-12-21',1080,1,0,0,0,0,0,0,0,0,0,0
'2016-12-22',1402,2,1751,2,2595,3,0,0,0,0,0,0
'2016-12-23',1565,3,2487,4,2069,1,0,0,0,0,0,0
'2016-12-24',1255,2,1904,4,0,0,0,0,0,0,0,0
'2016-12-25',0,0,1624,3,0,0,0,0,0,0,0,0
'2016-12-26',0,0,2850,1,0,0,0,0,1620,1,0,0
'2016-12-27',0,0,0,0,3550,1,0,0,0,0,0,0
'2016-12-28',0,0,1624,1,0,0,0,0,0,0,0,0
'2016-12-29',1320,3,1930,3,1650,1,0,0,1620,1,0,0
