date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',2395,19,2895,21,3300,7,0,0,0,0,0,0
'2016-12-16',2285,16,3075,13,3300,5,0,0,0,0,0,0
'2016-12-17',2262,24,2554,14,3300,15,0,0,0,0,0,0
'2016-12-18',2050,19,2745,18,2900,3,0,0,0,0,0,0
'2016-12-19',2540,26,2812,8,3300,10,0,0,0,0,0,0
'2016-12-20',2177,19,2895,19,3300,5,0,0,0,0,0,0
'2016-12-21',2335,23,3295,10,2850,1,0,0,0,0,0,0
'2016-12-22',2245,17,2700,11,3300,7,0,0,0,0,0,0
'2016-12-23',2455,25,2800,11,2550,4,0,0,0,0,0,0
'2016-12-24',2037,10,2509,8,3300,3,0,0,0,0,0,0
'2016-12-25',2569,13,3095,3,2200,1,0,0,0,0,0,0
'2016-12-26',2320,10,3050,3,2200,1,0,0,0,0,0,0
'2016-12-27',2500,17,3290,7,3300,3,0,0,0,0,0,0
'2016-12-28',2275,19,2780,9,3300,6,0,0,0,0,0,0
'2016-12-29',2305,20,3050,7,3300,6,0,0,0,0,0,0
'2016-12-30',2295,17,2895,15,0,0,0,0,0,0,0,0
'2016-12-31',2450,16,2712,12,3300,7,0,0,0,0,0,0
'2017-01-01',2475,6,3265,8,0,0,0,0,0,0,0,0
'2017-01-02',1965,13,2950,6,2200,1,0,0,0,0,0,0
'2017-01-03',2315,17,2700,15,2800,3,0,0,0,0,0,0
'2017-01-04',2220,25,2834,20,3300,6,0,0,0,0,0,0
'2017-01-05',2180,23,2957,12,2200,3,0,0,0,0,0,0
'2017-01-06',2305,20,3100,17,1110,1,0,0,0,0,0,0
