date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1950,21,2645,4,3822,2,4175,2,3500,1,6695,1
'2016-12-16',1799,37,2527,4,3700,3,0,0,0,0,0,0
'2016-12-17',1799,44,2400,9,4025,2,3450,1,3500,1,6695,1
'2016-12-18',1844,32,2470,5,4,1,0,0,0,0,0,0
'2016-12-19',1950,22,2150,7,2795,1,0,0,5250,1,0,0
'2016-12-20',1800,18,2350,8,3200,3,3750,2,3500,1,6695,1
'2016-12-21',1799,38,2517,4,0,0,4900,1,0,0,0,0
'2016-12-22',1799,31,2400,9,3600,3,4050,1,3500,1,6695,1
'2016-12-23',1799,37,2800,7,1749,2,0,0,0,0,0,0
'2016-12-24',1799,38,2387,6,4850,1,4050,1,3500,1,6695,1
'2016-12-25',1799,37,2475,4,1452,2,0,0,0,0,0,0
'2016-12-26',1780,14,3150,2,1399,2,0,0,0,0,0,0
'2016-12-27',1957,22,2307,6,3000,3,4475,2,3500,1,6695,1
'2016-12-28',1812,28,2497,10,1453,2,3450,1,0,0,0,0
'2016-12-29',1874,27,2225,16,4725,2,4050,1,4375,2,6695,1
'2016-12-30',1799,40,2792,6,2897,2,4900,1,0,0,0,0
'2016-12-31',1710,41,2212,8,3875,2,4050,1,3500,1,6695,1
'2017-01-01',1799,25,2575,4,0,0,0,0,0,0,0,0
'2017-01-02',1999,17,1499,2,0,0,5,1,0,0,0,0
'2017-01-03',1799,22,2485,7,0,0,4900,1,0,0,0,0
'2017-01-04',1895,31,2175,18,3000,1,0,0,5250,1,0,0
'2017-01-05',1799,52,2585,4,2795,3,4475,2,3500,1,6695,1
'2017-01-06',1799,37,2325,8,4222,2,0,0,0,0,0,0
'2017-01-07',1799,42,2250,9,0,0,2027,2,3500,1,6695,1
'2017-01-08',1799,40,2888,4,5,1,3450,1,0,0,0,0
'2017-01-09',1888,20,2837,4,3395,2,4900,1,0,0,0,0
'2017-01-10',1939,35,2625,14,1748,2,4050,1,3500,1,6500,1
'2017-01-11',1859,24,2542,10,4,2,6,1,0,0,0,0
