date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,1380,3,0,0,2450,1,0,0,0,0
'2016-12-16',1425,4,1600,4,0,0,0,0,0,0,0,0
'2016-12-17',1600,3,1537,4,1875,2,0,0,0,0,0,0
'2016-12-18',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-19',1612,4,1975,4,0,0,0,0,0,0,0,0
'2016-12-20',1250,1,0,0,0,0,0,0,0,0,0,0
'2016-12-21',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-22',1387,4,1925,2,1850,4,2750,1,0,0,0,0
'2016-12-23',1625,2,2875,1,0,0,0,0,0,0,0,0
'2016-12-24',1180,1,1350,1,1250,1,0,0,0,0,0,0
'2016-12-25',0,0,1850,1,0,0,0,0,0,0,0,0
'2016-12-26',1600,3,2100,1,6,1,0,0,0,0,0,0
'2016-12-27',1387,4,0,0,1850,5,2600,2,0,0,0,0
'2016-12-28',0,0,1850,1,0,0,0,0,0,0,0,0
'2016-12-29',1600,3,1700,6,0,0,0,0,0,0,0,0
'2016-12-30',0,0,1350,3,1675,2,0,0,0,0,0,0
'2016-12-31',1495,1,1380,3,0,0,0,0,0,0,0,0
