date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1649,152,1091,93,2000,15,7500,1,3500,3,0,0
'2016-12-16',1645,223,1086,112,1500,22,2925,5,0,0,4,3
'2016-12-17',1645,215,1280,151,3050,14,4600,3,8499,7,0,0
'2016-12-18',1782,164,1950,108,3125,14,4100,6,8499,3,0,0
'2016-12-19',1750,155,2512,72,1500,21,2925,1,8499,13,2725,1
'2016-12-20',1875,174,2561,87,3247,18,4400,5,3000,4,4400,2
'2016-12-21',1845,171,2599,81,1925,26,3700,5,0,0,5495,1
'2016-12-22',1750,180,2450,99,2500,25,4400,1,3795,3,2725,1
'2016-12-23',1895,177,2690,75,1460,20,3200,2,8499,9,0,0
'2016-12-24',1750,171,2312,70,1925,32,3800,3,5000,3,0,0
'2016-12-25',1798,89,2200,72,3731,18,2925,6,3200,4,2725,2
'2016-12-26',1500,37,1950,25,2100,6,0,0,0,0,5,1
'2016-12-27',1475,213,1200,109,1925,9,2275,6,8499,8,0,0
'2016-12-28',1500,223,1950,130,2950,29,3200,6,8499,5,2725,3
'2016-12-29',1649,275,1372,114,1325,22,3900,3,5125,4,5495,1
'2016-12-30',1649,184,2200,101,2760,22,5800,5,5500,1,0,0
'2016-12-31',1494,228,1775,123,2625,16,2175,5,3795,4,2725,2
