date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1009,2,1345,1,1925,2,0,0,0,0,0,0
'2016-12-16',895,1,1372,2,1565,2,0,0,0,0,0,0
'2016-12-17',850,3,1312,4,0,0,0,0,0,0,0,0
'2016-12-18',929,6,1130,4,1925,2,0,0,0,0,0,0
'2016-12-19',1025,2,1275,2,1500,1,0,0,0,0,0,0
'2016-12-20',1237,2,1280,3,1880,2,0,0,2500,1,0,0
'2016-12-21',929,8,1260,9,1812,4,0,0,0,0,0,0
'2016-12-22',1105,4,1317,4,1460,1,0,0,0,0,0,0
'2016-12-23',1127,4,0,0,1442,2,0,0,0,0,0,0
'2016-12-24',929,9,1130,3,1925,4,0,0,0,0,0,0
'2016-12-25',1225,1,1387,2,0,0,2175,1,2500,1,0,0
'2016-12-26',0,0,1065,1,1700,1,0,0,0,0,0,0
'2016-12-27',929,10,1130,3,1925,2,0,0,0,0,0,0
'2016-12-28',985,5,1280,10,1880,2,0,0,0,0,0,0
'2016-12-29',929,7,1280,5,0,0,2175,1,0,0,0,0
'2016-12-30',949,2,1348,3,1460,3,0,0,0,0,0,0
'2016-12-31',1004,12,1262,8,0,0,2175,1,0,0,0,0
'2017-01-01',1089,2,1277,2,0,0,0,0,0,0,0,0
'2017-01-02',1250,3,1265,1,0,0,0,0,0,0,0,0
'2017-01-03',1250,12,1375,3,0,0,0,0,0,0,0,0
