date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1203,1,1340,3,1831,2,0,0,0,0,0,0
'2016-12-16',1184,2,1315,5,1682,1,0,0,0,0,0,0
'2016-12-17',0,0,1523,1,1875,2,0,0,0,0,0,0
'2016-12-18',1161,3,1325,3,1825,1,2500,1,0,0,0,0
'2016-12-19',1292,2,1532,1,1975,1,0,0,0,0,0,0
'2016-12-20',1588,1,1433,2,1754,2,2500,1,0,0,0,0
'2016-12-21',0,0,0,0,1975,1,0,0,0,0,1551,1
'2016-12-22',1265,4,1669,3,0,0,0,0,0,0,0,0
'2016-12-23',1160,1,1310,1,1869,4,2500,1,0,0,0,0
'2016-12-24',1268,2,1250,4,0,0,2500,1,0,0,0,0
'2016-12-25',1285,2,1263,2,1825,1,0,0,0,0,0,0
'2016-12-26',0,0,0,0,1975,1,2500,1,0,0,0,0
