date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1275,3,1360,9,1635,4,1450,3,0,0,0,0
'2016-12-16',997,2,1385,7,1717,2,1450,2,0,0,0,0
'2016-12-17',1445,1,1360,7,1635,3,1450,3,0,0,0,0
'2016-12-18',1275,3,1385,7,1635,3,1450,2,0,0,0,0
'2016-12-19',1042,2,0,0,1600,1,1450,1,0,0,0,0
'2016-12-20',1237,2,1362,10,1635,3,1450,1,0,0,0,0
'2016-12-21',1070,2,1560,5,1635,3,1450,2,0,0,0,0
'2016-12-22',1255,5,1385,7,1650,3,1450,2,0,0,0,0
'2016-12-23',650,1,1370,8,1617,4,1450,1,0,0,0,0
'2016-12-24',977,2,1355,4,1717,2,1450,3,2000,1,0,0
'2016-12-25',900,1,0,0,1450,1,1450,1,0,0,0,0
