date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1143,4,1336,5,1579,3,1995,7,0,0,0,0
'2016-12-16',1099,2,1336,1,1689,4,1450,2,0,0,0,0
'2016-12-17',1124,2,1330,5,1475,1,1600,4,2500,1,0,0
'2016-12-18',916,2,1156,2,1271,1,1487,4,0,0,0,0
'2016-12-19',0,0,0,0,1425,2,1450,1,0,0,0,0
'2016-12-20',1237,2,1336,4,1792,2,1750,3,2500,1,0,0
'2016-12-21',750,3,1336,4,1800,1,1650,7,0,0,0,0
'2016-12-22',1143,4,1366,11,1579,12,1450,2,0,0,2550,1
'2016-12-23',1137,3,1336,5,2100,3,1650,3,2500,1,0,0
'2016-12-24',950,5,1336,5,1800,3,1487,4,2020,1,0,0
'2016-12-25',1150,3,1290,2,1462,4,1722,2,0,0,0,0
'2016-12-26',0,0,1200,1,0,0,1450,2,0,0,0,0
'2016-12-27',0,0,0,0,1900,1,1750,5,2020,1,0,0
'2016-12-28',1126,5,1290,8,1462,4,1450,1,0,0,0,0
'2016-12-29',1051,4,1457,8,1739,6,1450,3,0,0,0,0
'2016-12-30',1410,1,1336,3,1828,2,1725,2,0,0,2550,1
'2016-12-31',1046,6,1336,5,1447,4,1450,1,0,0,0,0
