date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',2299,93,3005,31,3247,6,4300,3,4250,2,0,0
'2016-12-16',2049,192,3357,58,3397,4,1525,2,0,0,0,0
'2016-12-17',2100,184,2996,62,4199,6,4300,5,4250,2,0,0
'2016-12-18',2198,139,2900,69,2900,6,4500,2,0,0,0,0
'2016-12-19',2000,150,3035,32,3495,6,5435,4,5250,2,0,0
'2016-12-20',2100,169,3050,53,2325,9,4300,5,4250,2,0,0
'2016-12-21',2050,165,3099,51,0,0,0,0,0,0,5495,1
'2016-12-22',2224,164,2998,57,2050,9,4000,5,4250,2,0,0
'2016-12-23',2299,150,3125,59,3647,8,4500,2,0,0,0,0
'2016-12-24',2100,135,3000,43,3998,11,4500,6,4250,4,0,0
'2016-12-25',2249,51,2945,12,2900,3,0,0,0,0,0,0
'2016-12-26',2305,23,3075,12,2795,1,4500,1,0,0,0,0
'2016-12-27',2095,134,2915,46,3495,6,4250,4,3500,6,0,0
'2016-12-28',2298,162,3002,60,3600,6,4400,4,0,0,0,0
'2016-12-29',2181,173,3137,52,3800,6,4000,5,5000,5,5495,2
'2016-12-30',2245,144,3100,71,2795,1,4500,2,0,0,0,0
'2016-12-31',2181,129,3000,62,3000,15,4000,2,5000,3,0,0
'2017-01-01',2287,42,3150,11,3998,1,0,0,0,0,0,0
'2017-01-02',1975,31,2972,12,3495,1,0,0,6900,1,0,0
'2017-01-03',2200,44,2999,27,3000,3,5185,2,5000,1,0,0
