date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1999,67,3200,21,4200,7,4300,2,3500,1,0,0
'2016-12-16',1999,39,3052,12,3550,4,1525,1,0,0,0,0
'2016-12-17',1999,44,3112,18,3800,3,4300,1,3500,1,0,0
'2016-12-18',1997,26,3125,21,2900,3,0,0,0,0,0,0
'2016-12-19',1974,40,2995,9,2720,2,0,0,5250,1,0,0
'2016-12-20',1975,45,3162,14,4200,3,4300,1,3500,1,0,0
'2016-12-21',1997,38,3030,13,0,0,0,0,0,0,0,0
'2016-12-22',1999,42,2996,24,2900,5,0,0,3500,1,0,0
'2016-12-23',1975,31,3100,15,3150,4,0,0,0,0,0,0
'2016-12-24',1999,36,3030,11,3899,4,0,0,3500,1,0,0
'2016-12-25',1972,24,2998,7,3321,2,0,0,0,0,0,0
'2016-12-26',1987,10,3112,8,2795,1,0,0,0,0,0,0
'2016-12-27',1999,27,2995,11,4599,1,0,0,1753,2,0,0
'2016-12-28',1999,46,3187,16,3600,3,4300,1,0,0,0,0
'2016-12-29',1999,33,3125,21,3998,3,0,0,4375,2,0,0
'2016-12-30',1999,30,2998,14,2795,1,0,0,0,0,0,0
'2016-12-31',1999,29,2950,17,3600,5,0,0,3500,1,0,0
