date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',975,1,1525,2,3045,2,4800,1,2875,2,0,0
'2016-12-16',1599,4,3400,1,3399,2,0,0,2875,2,0,0
'2016-12-17',975,1,2297,2,2647,2,3795,1,0,0,0,0
'2016-12-18',1625,2,0,0,0,0,3525,2,7450,1,0,0
'2016-12-19',1750,3,1787,2,0,0,0,0,0,0,0,0
'2016-12-20',1599,8,2350,1,2575,5,0,0,0,0,0,0
'2016-12-21',1679,2,0,0,0,0,3925,2,2875,2,0,0
'2016-12-22',1679,2,1605,1,2295,1,3795,1,0,0,0,0
'2016-12-23',1599,14,2480,3,3187,2,0,0,6900,1,0,0
'2016-12-24',1599,10,2400,1,2295,1,3422,2,0,0,0,0
'2016-12-25',1679,1,1605,1,1875,1,0,0,0,0,0,0
'2016-12-26',0,0,0,0,2575,1,0,0,0,0,0,0
'2016-12-27',1575,2,0,0,2295,1,3422,2,0,0,0,0
'2016-12-28',1599,10,2260,2,0,0,0,0,0,0,0,0
'2016-12-29',1600,11,2052,2,2787,4,0,0,6900,1,0,0
'2016-12-30',1679,3,0,0,2096,2,0,0,0,0,0,0
'2016-12-31',1599,9,2250,4,3047,2,3795,1,0,0,0,0
'2017-01-01',1599,7,0,0,0,0,0,0,0,0,0,0
'2017-01-02',1500,1,2100,2,2575,3,0,0,0,0,0,0
'2017-01-03',1599,9,0,0,1877,2,3050,1,0,0,0,0
'2017-01-04',1679,9,1437,2,3247,2,0,0,0,0,0,0
'2017-01-05',1679,3,2530,1,2295,3,3795,1,0,0,0,0
'2017-01-06',1599,8,0,0,1963,2,3050,1,0,0,0,0
