date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1111,39,1365,38,1377,10,1650,2,0,0,0,0
'2016-12-16',1149,27,1374,25,1370,9,0,0,2342,1,0,0
'2016-12-17',1304,17,1365,21,1370,7,2023,1,0,0,0,0
'2016-12-18',1535,6,1395,9,2025,2,0,0,0,0,0,0
'2016-12-19',1525,4,2050,3,2605,1,0,0,0,0,0,0
'2016-12-20',1149,21,1375,27,1442,8,1915,1,0,0,0,0
'2016-12-21',1192,28,1369,26,1325,10,2137,2,0,0,0,0
'2016-12-22',1179,18,1375,19,1442,8,1650,1,0,0,0,0
'2016-12-23',1152,24,1374,21,1385,9,0,0,2342,1,0,0
'2016-12-24',1180,15,1338,16,1385,3,2311,2,0,0,0,0
