date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1489,55,1817,32,2170,21,1850,3,0,0,0,0
'2016-12-16',1486,49,1725,33,2047,12,2075,2,0,0,0,0
'2016-12-17',1489,45,1713,25,2009,13,2075,4,0,0,0,0
'2016-12-18',1480,106,1670,55,2100,39,1850,7,0,0,0,0
'2016-12-19',1484,42,1670,25,1999,6,1850,4,0,0,0,0
'2016-12-20',1489,121,1749,51,2098,24,2300,2,0,0,0,0
'2016-12-21',1475,43,1730,30,2195,11,1850,5,0,0,0,0
'2016-12-22',1480,55,1736,26,1999,11,1850,4,0,0,0,0
'2016-12-23',1489,104,1712,68,2350,22,0,0,0,0,0,0
'2016-12-24',1486,116,1777,50,2155,24,1850,8,3100,2,0,0
'2016-12-25',1487,28,1799,20,2130,5,1850,1,0,0,0,0
'2016-12-26',1541,12,1640,4,2490,5,1850,2,0,0,0,0
'2016-12-27',1475,35,1671,18,2125,8,1850,3,0,0,0,0
'2016-12-28',1493,44,1850,32,2180,13,1850,1,0,0,0,0
