date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1599,30,1780,42,2225,16,112,1,0,0,0,0
'2016-12-16',1532,25,1780,31,1877,6,0,0,3500,1,0,0
'2016-12-17',1525,36,1815,43,1979,10,1995,1,3500,1,0,0
'2016-12-18',1619,24,1812,21,1970,7,0,0,0,0,0,0
'2016-12-19',1523,30,1688,21,1877,6,2300,1,0,0,0,0
'2016-12-20',1500,23,1753,29,1925,11,0,0,3500,1,0,0
'2016-12-21',1495,27,1689,22,1783,6,2175,3,3500,1,0,0
'2016-12-22',1481,28,1797,31,1950,11,0,0,3500,1,0,0
'2016-12-23',1483,24,1684,26,1980,10,1995,1,0,0,0,0
'2016-12-24',1477,20,1794,20,2306,7,2175,1,3500,1,0,0
'2016-12-25',1522,11,1797,13,2210,5,0,0,0,0,0,0
'2016-12-26',1207,4,1842,2,1650,1,0,0,3500,1,0,0
'2016-12-27',1471,20,1797,17,1938,12,1995,1,3500,3,0,0
'2016-12-28',1471,30,1790,25,2152,13,0,0,3500,1,0,0
'2016-12-29',1495,24,1790,23,2179,6,3200,1,0,0,0,0
'2016-12-30',1562,23,1800,23,2021,14,700,1,2725,2,0,0
'2016-12-31',1522,25,1705,24,1967,6,1940,2,3500,2,0,0
'2017-01-01',1524,12,1695,14,2177,4,0,0,3500,1,0,0
'2017-01-02',1674,6,1600,5,1400,2,0,0,0,0,0,0
'2017-01-03',1515,15,1736,15,2130,7,1347,2,3500,2,0,0
'2017-01-04',1515,21,1654,17,2345,12,0,0,3500,1,3500,1
'2017-01-05',1486,29,1697,14,2547,8,1885,1,0,0,0,0
'2017-01-06',1556,22,1685,25,1911,12,2066,2,0,0,0,0
