date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1489,141,1820,105,2125,48,2199,14,2212,2,0,0
'2016-12-16',1488,173,1775,157,1999,53,2000,12,3500,6,0,0
'2016-12-17',1500,193,1772,156,2009,60,1995,11,2662,4,3600,1
'2016-12-18',1504,161,1772,142,2095,54,1850,15,3082,2,5000,1
'2016-12-19',1489,159,1725,130,1928,53,2000,13,2825,4,0,0
'2016-12-20',1504,186,1757,136,1925,69,2199,18,3745,4,0,0
'2016-12-21',1488,162,1745,155,2100,53,1900,26,3500,3,0,0
'2016-12-22',1479,184,1745,139,1925,74,2250,15,3500,3,3600,1
'2016-12-23',1489,187,1745,148,2035,53,2375,7,3595,2,0,0
'2016-12-24',1478,157,1745,125,2100,69,1850,17,3200,6,0,0
'2016-12-25',1475,114,1745,103,1999,57,1925,7,3500,1,0,0
'2016-12-26',1483,34,1620,24,2100,20,1850,7,3350,2,0,0
'2016-12-27',1473,144,1777,101,2020,61,1850,15,3500,6,0,0
'2016-12-28',1489,159,1745,140,1999,60,2180,11,3500,3,0,0
