date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1724,50,1895,50,2199,14,2899,4,0,0,3600,1
'2016-12-16',1703,88,1850,89,2145,23,3100,10,3850,2,0,0
'2016-12-17',1750,141,2000,74,2525,20,3100,5,0,0,0,0
'2016-12-18',1750,131,1900,77,2600,12,1687,4,0,0,0,0
'2016-12-19',1750,109,1850,56,1550,16,3100,14,3525,8,0,0
'2016-12-20',1750,104,1895,98,2400,17,2500,10,3800,2,2900,2
'2016-12-21',1750,124,2199,78,2295,19,2174,1,0,0,0,0
'2016-12-22',1750,141,1907,82,2400,23,2950,3,3300,2,0,0
'2016-12-23',1750,137,2059,76,2400,15,2100,7,0,0,2900,2
'2016-12-24',1760,78,2225,66,2532,22,2637,2,2600,2,0,0
'2016-12-25',1450,154,1895,45,2247,12,3100,2,2800,2,0,0
'2016-12-26',1450,46,1850,7,2200,7,2025,4,0,0,0,0
'2016-12-27',1450,30,1900,16,2295,13,2324,2,1950,1,2900,1
'2016-12-28',1463,106,1850,76,2395,24,3625,2,3300,4,0,0
'2016-12-29',1600,102,2000,65,2295,25,2100,7,2650,2,0,0
'2016-12-30',1450,91,2150,78,2300,30,0,0,2875,4,2900,1
'2016-12-31',1450,116,1895,84,2200,17,0,0,2600,3,0,0
