date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1999,15,3410,4,4800,4,4300,1,0,0,0,0
'2016-12-16',1999,26,3295,3,3118,2,0,0,0,0,0,0
'2016-12-17',1999,33,3295,13,4800,6,4300,1,0,0,0,0
'2016-12-18',2118,14,3162,4,0,0,5900,1,0,0,0,0
'2016-12-19',1999,29,2800,3,4800,4,0,0,0,0,0,0
'2016-12-20',1999,26,3150,8,4800,3,4300,1,0,0,0,0
'2016-12-21',2047,22,3750,7,0,0,0,0,0,0,0,0
'2016-12-22',2170,30,3350,9,4800,3,0,0,0,0,0,0
'2016-12-23',2575,20,2987,6,0,0,0,0,0,0,0,0
'2016-12-24',2049,22,4597,6,4300,2,0,0,0,0,0,0
'2016-12-25',2247,10,3075,4,0,0,0,0,0,0,0,0
'2016-12-26',1975,5,2412,6,0,0,0,0,0,0,0,0
'2016-12-27',2412,18,3350,7,0,0,0,0,0,0,0,0
'2016-12-28',1997,28,3500,7,4300,2,4300,1,0,0,0,0
'2016-12-29',2099,26,3200,11,4800,3,0,0,0,0,0,0
'2016-12-30',1995,22,2400,5,0,0,5900,1,0,0,0,0
'2016-12-31',2525,16,3500,7,4800,1,0,0,0,0,0,0
