date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1850,1,2715,2,3775,1,0,0,1650,1,0,0
'2016-12-16',1785,2,0,0,0,0,0,0,0,0,0,0
'2016-12-17',1200,1,2715,2,3775,1,0,0,0,0,0,0
'2016-12-18',1847,2,0,0,4700,1,0,0,0,0,0,0
'2016-12-19',1200,2,2715,2,2785,2,0,0,0,0,0,0
'2016-12-20',1845,1,0,0,0,0,0,0,1650,1,0,0
'2016-12-21',1845,3,2490,1,3775,1,0,0,0,0,0,0
'2016-12-22',1522,4,2697,2,0,0,0,0,0,0,0,0
'2016-12-23',1845,2,0,0,3495,1,0,0,1650,1,0,0
'2016-12-24',1845,1,2697,2,3775,1,0,0,0,0,0,0
'2016-12-25',1845,3,2490,1,0,0,0,0,0,0,0,0
