date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1400,10,2168,5,2595,3,0,0,0,0,0,0
'2016-12-16',1547,12,2168,5,1681,1,2500,1,0,0,0,0
'2016-12-17',1350,7,2295,3,2595,5,0,0,1905,1,0,0
'2016-12-18',1703,4,1850,3,1681,1,2150,1,0,0,0,0
'2016-12-19',1650,1,2400,1,0,0,0,0,0,0,0,0
'2016-12-20',1350,16,2168,5,2595,3,0,0,0,0,0,0
'2016-12-21',1350,7,1265,1,1681,1,0,0,0,0,0,0
'2016-12-22',1350,6,1700,3,1940,4,0,0,0,0,0,0
'2016-12-23',1350,9,1559,2,2590,2,0,0,0,0,0,0
'2016-12-24',1350,8,1633,2,2138,2,0,0,0,0,0,0
'2016-12-25',1759,2,1804,2,0,0,0,0,0,0,0,0
'2016-12-26',1750,1,0,0,2850,1,0,0,0,0,0,0
'2016-12-27',1500,3,2043,5,2595,1,0,0,1905,1,0,0
'2016-12-28',1350,13,2400,3,2200,3,2600,1,0,0,0,0
'2016-12-29',1483,6,1920,6,1681,5,3,1,0,0,0,0
'2016-12-30',1350,16,1728,4,1940,2,2600,2,0,0,0,0
'2016-12-31',1472,4,1988,3,1681,3,0,0,0,0,0,0
'2017-01-01',1712,3,1198,1,1681,1,0,0,0,0,0,0
'2017-01-02',0,0,1920,1,2850,1,0,0,0,0,0,0
'2017-01-03',1800,8,1500,4,900,3,2600,1,0,0,0,0
'2017-01-04',1350,11,1995,3,2200,3,0,0,0,0,0,0
'2017-01-05',1312,8,1995,5,2300,5,0,0,0,0,0,0
'2017-01-06',1480,10,2012,5,3250,2,3500,1,0,0,0,0
