date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1604,3,1547,8,2100,4,0,0,0,0,0,0
'2016-12-16',1399,3,1563,6,2475,3,2325,2,0,0,0,0
'2016-12-17',1422,6,1660,5,2172,2,1995,1,0,0,0,0
'2016-12-18',1404,2,1620,8,1700,3,0,0,0,0,0,0
'2016-12-19',1500,4,1323,5,945,1,2650,1,0,0,0,0
'2016-12-20',900,5,1660,5,1993,2,0,0,0,0,0,0
'2016-12-21',1406,2,1610,7,1737,7,0,0,0,0,0,0
'2016-12-22',1070,4,1610,5,1647,2,2650,1,0,0,0,0
'2016-12-23',1237,5,1558,10,1943,4,1995,1,0,0,0,0
'2016-12-24',1282,2,1610,2,1700,5,0,0,0,0,0,0
'2016-12-25',1132,2,1652,5,0,0,2650,1,0,0,0,0
'2016-12-26',0,0,2000,1,0,0,0,0,0,0,0,0
'2016-12-27',1247,6,1507,5,1737,7,2160,2,0,0,0,0
'2016-12-28',1550,1,1610,5,1862,4,2650,1,0,0,0,0
'2016-12-29',1138,3,1650,9,2375,2,0,0,0,0,0,0
'2016-12-30',1425,2,1699,11,1931,4,2325,1,0,0,0,0
'2016-12-31',1004,8,1525,7,1695,5,1995,1,0,0,0,0
'2017-01-01',1444,2,1590,4,2075,2,0,0,0,0,0,0
'2017-01-02',0,0,1950,1,0,0,0,0,0,0,0,0
'2017-01-03',1515,5,1560,3,2100,5,1995,1,0,0,0,0
