date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',979,28,1213,19,1950,1,0,0,0,0,0,0
'2016-12-16',979,25,1400,19,1400,3,0,0,0,0,0,0
'2016-12-17',958,24,1014,16,2042,2,0,0,0,0,0,0
'2016-12-18',979,17,1400,13,1534,1,0,0,0,0,0,0
'2016-12-19',2081,9,2802,1,1630,2,0,0,0,0,0,0
'2016-12-20',2327,6,1520,7,1742,4,2295,1,0,0,0,0
'2016-12-21',2473,9,3136,8,1534,1,0,0,0,0,2500,1
'2016-12-22',2340,8,1525,9,1534,3,0,0,0,0,0,0
'2016-12-23',2252,12,3367,8,1534,1,1850,1,0,0,0,0
'2016-12-24',2232,12,2795,10,2300,1,0,0,0,0,0,0
'2016-12-25',2086,8,1940,2,1400,1,0,0,1575,1,0,0
'2016-12-26',958,5,1189,6,0,0,0,0,0,0,0,0
'2016-12-27',979,28,1213,25,0,0,0,0,0,0,0,0
'2016-12-28',975,34,1400,24,1917,2,0,0,1575,1,0,0
'2016-12-29',979,43,1374,27,2017,2,0,0,0,0,0,0
'2016-12-30',1014,16,1400,16,1534,1,0,0,0,0,2400,1
'2016-12-31',977,26,1400,21,1478,1,0,0,0,0,0,0
'2017-01-01',1088,13,1400,7,1478,1,0,0,0,0,0,0
'2017-01-02',966,18,1213,12,2500,1,0,0,0,0,0,0
'2017-01-03',1936,10,1400,19,0,0,0,0,0,0,2399,1
'2017-01-04',1050,31,1295,28,1886,2,0,0,0,0,0,0
'2017-01-05',979,38,1362,16,2216,2,0,0,0,0,0,0
'2017-01-06',979,24,1400,13,1534,1,0,0,0,0,0,0
'2017-01-07',977,30,1400,25,1534,1,1850,1,0,0,0,0
'2017-01-08',1050,21,1400,16,2295,3,0,0,0,0,0,0
'2017-01-09',977,46,1400,32,0,0,0,0,0,0,0,0
'2017-01-10',979,59,1400,73,1550,4,0,0,0,0,0,0
