date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1705,14,2600,8,3500,4,4300,1,0,0,6695,1
'2016-12-16',1776,18,2700,5,3000,3,3875,2,0,0,0,0
'2016-12-17',1965,17,2666,4,4325,2,4300,3,0,0,6695,1
'2016-12-18',1525,5,3250,1,2750,1,0,0,0,0,0,0
'2016-12-19',1795,9,2112,2,4200,1,3112,2,0,0,0,0
'2016-12-20',1625,22,2550,3,4850,1,4050,3,0,0,6695,1
'2016-12-21',1562,12,3092,4,0,0,0,0,0,0,0,0
'2016-12-22',1885,22,2450,5,3900,2,3175,3,0,0,6695,1
'2016-12-23',1725,8,3332,2,0,0,5950,1,0,0,0,0
'2016-12-24',1529,13,2650,4,3800,3,4050,1,0,0,6695,1
