date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1400,9,1703,23,2150,9,2174,3,0,0,0,0
'2016-12-16',1460,16,1686,17,2190,1,3050,5,3850,1,0,0
'2016-12-17',1445,19,1690,22,2100,5,3150,4,0,0,0,0
'2016-12-18',1415,13,1686,19,2425,6,3087,2,0,0,5000,1
'2016-12-19',1437,8,1686,13,0,0,3525,4,3200,3,0,0
'2016-12-20',1439,14,1753,23,2190,9,2375,6,0,0,0,0
'2016-12-21',1450,18,1686,18,1875,3,2687,2,2825,1,0,0
'2016-12-22',1380,13,1665,23,2470,6,2950,3,0,0,0,0
'2016-12-23',1457,22,1686,23,2321,2,2375,3,3625,2,0,0
'2016-12-24',1389,18,1706,20,2620,8,2174,3,2600,1,0,0
'2016-12-25',1450,82,1630,5,2325,3,0,0,0,0,0,0
'2016-12-26',1450,42,2900,1,2100,3,2237,4,0,0,0,0
'2016-12-27',1450,26,1775,10,2245,10,2174,3,1950,1,0,0
'2016-12-28',1450,25,1664,19,2395,7,0,0,1250,1,0,0
'2016-12-29',1450,21,1800,10,2100,7,2375,5,4325,2,0,0
'2016-12-30',1450,25,1760,13,2300,11,0,0,1950,1,4800,1
'2016-12-31',1450,35,1631,18,2150,5,1250,1,3297,2,0,0
'2017-01-01',1450,43,2475,5,2022,2,3950,1,0,0,0,0
'2017-01-02',1450,38,1800,5,1375,2,2375,3,4325,2,0,0
'2017-01-03',1450,30,1834,9,2487,2,1250,1,0,0,0,0
'2017-01-04',1450,31,1655,18,2086,5,3100,1,3900,1,0,0
'2017-01-05',1450,31,1704,14,1895,5,2375,3,4075,2,0,0
'2017-01-06',1450,26,1670,21,2025,3,3000,2,2800,1,0,0
