date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1534,1,2038,1,0,0,0,0,0,0,0,0
'2016-12-16',1501,3,2064,2,0,0,0,0,0,0,0,0
'2016-12-17',1604,3,2086,2,0,0,0,0,0,0,0,0
'2016-12-18',1422,4,2059,1,0,0,0,0,0,0,0,0
'2016-12-19',1480,2,2059,3,0,0,0,0,0,0,0,0
'2016-12-20',1478,3,2039,2,0,0,0,0,0,0,0,0
'2016-12-21',1566,3,2008,2,0,0,0,0,0,0,0,0
'2016-12-22',1556,3,2025,1,0,0,0,0,0,0,0,0
'2016-12-23',1536,2,1966,2,0,0,0,0,0,0,0,0
'2016-12-24',1556,3,2006,2,0,0,0,0,0,0,0,0
