date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1550,74,1740,99,2099,20,2214,9,0,0,0,0
'2016-12-16',1514,112,1740,117,1993,31,2207,12,2600,2,0,0
'2016-12-17',1531,102,1708,107,2045,38,2214,16,3200,1,0,0
'2016-12-18',1528,115,1708,111,1805,25,2207,12,1495,1,0,0
'2016-12-19',1507,112,1614,97,1927,25,2214,15,2495,3,0,0
'2016-12-20',1555,109,1684,124,1933,28,2500,2,3200,1,0,0
'2016-12-21',1500,83,1650,115,1927,44,1850,10,1495,1,0,0
'2016-12-22',1523,106,1660,107,2086,39,2257,14,0,0,0,0
'2016-12-23',1452,104,1649,114,1950,37,2850,4,4100,2,0,0
'2016-12-24',1456,90,1724,119,1991,42,1850,10,0,0,0,0
'2016-12-25',1453,89,1649,110,1925,23,2300,8,1575,2,0,0
