date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,0,0,0,0,0,0,2800,1
'2016-12-16',984,2,1250,5,1337,2,0,0,0,0,0,0
'2016-12-17',934,2,1182,4,1411,2,0,0,0,0,0,0
'2016-12-18',934,2,1282,4,1288,3,3,1,0,0,0,0
'2016-12-19',0,0,1250,1,0,0,0,0,1250,1,0,0
'2016-12-20',920,2,1298,3,1411,2,0,0,0,0,0,0
'2016-12-21',975,6,1282,8,1411,4,0,0,0,0,0,0
'2016-12-22',923,2,1266,3,1534,1,0,0,0,0,0,0
'2016-12-23',923,2,1298,3,1534,1,3,1,1250,1,0,0
'2016-12-24',923,2,1298,3,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,3,1,0,0,0,0,0,0
'2016-12-26',0,0,1250,1,0,0,0,0,0,0,0,0
'2016-12-27',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-28',923,2,1298,3,1411,2,0,0,1250,1,0,0
'2016-12-29',958,3,1298,3,1411,2,3,2,0,0,0,0
'2016-12-30',958,3,1298,3,1411,2,0,0,0,0,2600,1
'2016-12-31',972,3,1298,3,1383,2,0,0,0,0,0,0
'2017-01-01',1030,4,1351,6,1383,4,0,0,0,0,0,0
'2017-01-02',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-03',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-04',972,3,1351,3,1383,2,0,0,0,0,0,0
'2017-01-05',1069,4,1322,3,1411,2,0,0,0,0,0,0
'2017-01-06',972,3,1322,3,1534,1,0,0,0,0,0,0
'2017-01-07',972,3,1311,4,1534,1,0,0,0,0,0,0
'2017-01-08',1051,3,1310,4,1443,2,0,0,0,0,0,0
'2017-01-09',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-10',1088,2,1322,2,1534,2,0,0,0,0,0,0
'2017-01-11',0,0,1431,1,0,0,0,0,0,0,0,0
