date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1434,13,1697,21,2067,4,0,0,2695,2,0,0
'2016-12-16',1519,13,1900,13,2426,6,0,0,2695,1,0,0
'2016-12-17',1420,12,1623,25,2040,5,0,0,2695,2,0,0
'2016-12-18',1440,10,1811,6,2040,1,0,0,2695,2,0,0
'2016-12-19',1501,5,1658,19,1850,3,0,0,2695,1,0,0
'2016-12-20',1378,14,1795,20,1855,7,0,0,2695,1,0,0
'2016-12-21',1252,14,1634,22,1945,2,0,0,2695,2,0,0
'2016-12-22',1478,11,1798,18,1710,5,0,0,2695,1,0,0
'2016-12-23',1452,14,1798,14,2102,5,0,0,2695,1,0,0
'2016-12-24',1524,10,1719,16,1727,2,0,0,0,0,0,0
'2016-12-25',1230,5,1590,8,2036,5,0,0,0,0,0,0
'2016-12-26',1268,1,1675,2,1937,2,0,0,0,0,0,0
'2016-12-27',1478,9,1797,9,1905,2,0,0,0,0,0,0
'2016-12-28',1639,12,1847,10,2036,5,0,0,0,0,0,0
'2016-12-29',1510,11,1709,25,2345,2,0,0,0,0,0,0
'2016-12-30',1660,11,1797,18,2297,4,0,0,0,0,0,0
'2016-12-31',1348,14,1800,15,1855,5,0,0,0,0,0,0
