date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,1662,2,2320,1,0,0,0,0,0,0
'2016-12-16',1375,1,2200,1,2800,1,2725,1,0,0,0,0
'2016-12-17',1695,1,1925,1,0,0,0,0,0,0,0,0
'2016-12-18',0,0,1775,3,2320,1,2725,1,0,0,0,0
'2016-12-19',1375,1,0,0,2645,1,0,0,0,0,0,0
'2016-12-20',1300,1,0,0,2825,2,0,0,0,0,0,0
'2016-12-21',0,0,1775,3,2320,1,0,0,0,0,0,0
'2016-12-22',0,0,0,0,2645,1,1600,1,0,0,0,0
'2016-12-23',1335,1,2300,1,0,0,0,0,0,0,0,0
'2016-12-24',0,0,1887,2,2320,2,0,0,0,0,0,0
'2016-12-25',0,0,0,0,2645,1,1600,1,0,0,0,0
'2016-12-26',1335,1,0,0,0,0,0,0,0,0,0,0
'2016-12-27',0,0,1887,2,2320,2,0,0,0,0,0,0
'2016-12-28',0,0,0,0,2747,2,0,0,0,0,0,0
