date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1604,5,1843,12,2254,6,2250,1,0,0,0,0
'2016-12-16',1595,5,1827,10,2287,4,0,0,0,0,0,0
'2016-12-17',1718,6,1660,8,2450,4,0,0,2240,1,0,0
'2016-12-18',1620,5,1810,11,2100,3,2175,2,0,0,0,0
'2016-12-19',1602,6,1842,8,1601,2,0,0,0,0,0,0
'2016-12-20',1665,8,1669,13,2150,4,0,0,0,0,0,0
'2016-12-21',1625,5,1652,11,2100,8,2755,2,0,0,0,0
'2016-12-22',1595,5,1768,10,2254,4,2575,2,3200,1,0,0
'2016-12-23',1604,7,1630,9,2500,3,0,0,0,0,0,0
'2016-12-24',1565,3,1610,7,2225,6,2100,1,0,0,0,0
'2016-12-25',1565,1,1656,6,0,0,0,0,3200,1,0,0
'2016-12-26',0,0,1725,2,2212,4,0,0,0,0,0,0
'2016-12-27',1595,5,1932,8,2100,5,2100,2,0,0,0,0
'2016-12-28',1573,4,1631,6,2250,5,0,0,0,0,0,0
'2016-12-29',1397,2,1725,13,2500,9,3410,1,0,0,0,0
