date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1234,1,1407,4,0,0,1450,2,0,0,0,0
'2016-12-16',1152,2,1599,2,1500,1,1625,4,0,0,0,0
'2016-12-17',0,0,1407,4,1837,2,1625,4,0,0,0,0
'2016-12-18',1177,1,1534,7,1710,3,1750,6,0,0,0,0
'2016-12-19',0,0,1300,2,0,0,1625,2,0,0,0,0
'2016-12-20',1213,2,1560,1,1695,3,1800,4,0,0,0,0
'2016-12-21',0,0,1400,6,1425,3,1624,5,0,0,0,0
'2016-12-22',0,0,1400,4,1900,1,1450,3,0,0,0,0
'2016-12-23',0,0,1509,3,1612,2,1450,1,0,0,0,0
'2016-12-24',1199,2,1470,7,1422,2,1712,6,0,0,0,0
'2016-12-25',0,0,0,0,1450,1,1450,1,0,0,0,0
