date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',965,1,0,0,0,0,2795,1,0,0,0,0
'2016-12-16',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-17',0,0,0,0,1920,6,2795,2,0,0,0,0
'2016-12-18',965,1,0,0,0,0,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',0,0,0,0,2160,8,2795,2,0,0,0,0
'2016-12-21',965,2,0,0,0,0,0,0,0,0,0,0
'2016-12-22',0,0,0,0,1000,1,2795,1,0,0,0,0
'2016-12-23',0,0,0,0,1920,3,0,0,0,0,0,0
'2016-12-24',965,2,0,0,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',965,4,0,0,2160,4,0,0,0,0,0,0
'2016-12-28',0,0,0,0,2895,1,0,0,0,0,0,0
