date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1366,29,1438,42,1799,20,2500,3,0,0,0,0
'2016-12-16',1347,30,1549,34,2100,18,2457,2,1217,1,0,0
'2016-12-17',1329,26,1543,28,2000,15,2550,4,1805,1,0,0
'2016-12-18',1371,32,1550,36,1975,18,2214,3,1217,1,0,0
'2016-12-19',1395,25,1521,28,1888,12,2497,6,0,0,0,0
'2016-12-20',1387,26,1538,29,1805,13,827,2,0,0,0,0
'2016-12-21',1336,31,1586,33,2000,13,2600,5,1539,3,0,0
'2016-12-22',1375,33,1538,41,2100,17,2115,2,1336,1,1450,1
'2016-12-23',1375,34,1545,37,1927,11,2357,4,1217,1,0,0
'2016-12-24',1399,66,1565,78,1812,28,2457,4,2600,2,0,0
'2016-12-25',1392,28,1596,30,2013,6,2001,4,0,0,0,0
'2016-12-26',1434,14,1649,14,1913,6,2425,2,0,0,0,0
'2016-12-27',1399,27,1543,39,1927,11,2625,2,0,0,0,0
'2016-12-28',1385,67,1585,77,2050,52,2600,5,1217,2,1724,1
'2016-12-29',1375,35,1649,34,1927,9,1650,3,0,0,0,0
