date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,1575,2,0,0,0,0,0,0
'2016-12-16',948,1,1320,2,1386,1,0,0,0,0,0,0
'2016-12-17',980,2,1313,4,1534,2,0,0,0,0,0,0
'2016-12-18',980,2,1313,4,1554,4,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',952,2,1313,4,1534,2,0,0,0,0,0,0
'2016-12-21',980,2,1313,4,1575,8,0,0,0,0,0,0
'2016-12-22',958,1,1232,2,1534,1,0,0,0,0,0,0
'2016-12-23',958,2,1286,4,1534,2,0,0,0,0,0,0
'2016-12-24',958,2,1286,4,1575,4,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',0,0,0,0,1575,2,0,0,0,0,0,0
'2016-12-28',958,1,1286,2,1967,2,0,0,0,0,0,0
'2016-12-29',958,1,1286,2,1363,2,0,0,0,0,0,0
'2016-12-30',1028,2,1286,2,1554,2,0,0,0,0,0,0
'2016-12-31',1030,2,1288,2,1478,1,0,0,0,0,0,0
'2017-01-01',1030,4,1364,4,1335,4,0,0,0,0,0,0
'2017-01-02',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-03',0,0,0,0,1575,2,0,0,0,0,0,0
