date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1580,2,0,0,2650,1,0,0,0,0,0,0
'2016-12-16',1600,2,1960,1,2600,1,0,0,0,0,0,0
'2016-12-17',1600,2,0,0,2250,1,0,0,0,0,0,0
'2016-12-18',1580,1,1960,1,2600,1,0,0,0,0,0,0
'2016-12-19',0,0,0,0,2250,1,0,0,0,0,0,0
'2016-12-20',1587,2,2120,1,0,0,0,0,0,0,0,0
'2016-12-21',1620,1,1975,1,2625,2,0,0,0,0,0,0
'2016-12-22',0,0,2050,2,2250,1,0,0,0,0,0,0
'2016-12-23',1560,2,0,0,2600,1,0,0,0,0,0,0
'2016-12-24',1615,3,0,0,0,0,0,0,0,0,0,0
