date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',2250,102,3600,40,4200,7,4000,1,5500,2,0,0
'2016-12-16',2150,51,3600,23,4000,3,0,0,0,0,0,0
'2016-12-17',2150,197,3527,52,4000,5,4000,1,5500,2,0,0
'2016-12-18',2350,13,2900,14,4100,4,0,0,0,0,0,0
'2016-12-19',2000,13,2725,5,4260,1,0,0,0,0,0,0
'2016-12-20',2200,30,2800,13,4299,4,4000,1,6000,3,0,0
'2016-12-21',2049,25,2999,14,4000,1,0,0,0,0,0,0
'2016-12-22',2200,34,3199,19,4000,5,4000,1,5500,2,0,0
'2016-12-23',2250,16,3199,11,4200,1,0,0,0,0,0,0
'2016-12-24',2000,27,2900,18,4000,5,4000,1,5500,2,0,0
'2016-12-25',2200,6,3220,7,0,0,0,0,0,0,0,0
'2016-12-26',2000,11,2900,11,4000,2,0,0,0,0,0,0
'2016-12-27',2200,20,2900,11,4000,3,4000,1,6000,3,0,0
'2016-12-28',2150,154,3600,44,4000,3,0,0,0,0,0,0
'2016-12-29',2400,134,3500,43,4000,9,4000,2,5500,4,0,0
'2016-12-30',2150,169,3600,50,4197,4,0,0,0,0,0,0
'2016-12-31',2497,133,3600,48,3950,7,4000,2,5000,2,0,0
'2017-01-01',2432,6,2900,10,4000,3,0,0,0,0,0,0
'2017-01-02',2000,8,2950,10,4000,1,0,0,0,0,0,0
'2017-01-03',2200,18,2947,12,3500,2,4000,1,5000,1,0,0
'2017-01-04',2350,253,3600,48,4650,6,0,0,6000,2,0,0
'2017-01-05',2175,58,3200,29,4360,3,0,0,6000,1,0,0
'2017-01-06',2324,34,3500,23,4000,2,0,0,6000,1,0,0
