date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-16',0,0,0,0,1750,2,0,0,0,0,0,0
'2016-12-17',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-18',985,2,0,0,0,0,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-21',0,0,0,0,1750,2,0,0,0,0,0,0
'2016-12-22',0,0,0,0,1800,1,0,0,0,0,0,0
'2016-12-23',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-24',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,1750,2,0,0,0,0,0,0
'2016-12-26',0,0,2200,1,0,0,0,0,0,0,0,0
'2016-12-27',0,0,0,0,1800,1,2500,1,0,0,0,0
'2016-12-28',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-29',985,2,0,0,0,0,0,0,0,0,0,0
'2016-12-30',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-31',0,0,0,0,0,0,2500,1,0,0,0,0
'2017-01-01',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-02',0,0,0,0,1750,2,0,0,0,0,0,0
'2017-01-03',0,0,0,0,1800,1,0,0,0,0,0,0
'2017-01-04',0,0,0,0,0,0,2500,1,0,0,0,0
'2017-01-05',985,1,0,0,0,0,0,0,0,0,0,0
'2017-01-06',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-07',0,0,0,0,1925,2,0,0,0,0,0,0
'2017-01-08',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-09',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-10',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-11',0,0,0,0,1800,2,0,0,0,0,0,0
