date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1165,10,1573,20,1929,2,1850,3,0,0,0,0
'2016-12-16',1225,14,1375,33,2295,1,1825,2,2600,1,0,0
'2016-12-17',1170,11,1576,16,1884,3,1850,4,0,0,0,0
'2016-12-18',1174,8,1350,20,1650,1,1850,4,2600,1,0,0
'2016-12-19',1188,17,1362,16,1900,1,1850,3,0,0,0,0
'2016-12-20',1225,9,1375,19,1800,3,1825,2,2600,1,0,0
'2016-12-21',1205,10,1350,17,1884,3,1850,5,0,0,0,0
'2016-12-22',1225,6,1425,22,1929,4,1850,6,0,0,0,0
'2016-12-23',1181,8,1371,16,1747,4,800,3,2600,1,0,0
'2016-12-24',1253,6,1390,5,1884,3,1850,4,0,0,0,0
'2016-12-25',1345,3,1312,4,1975,1,1850,1,0,0,0,0
'2016-12-26',0,0,1450,2,1500,1,1850,3,2600,1,0,0
'2016-12-27',1285,8,1467,13,1800,5,1850,4,1410,1,0,0
'2016-12-28',1205,11,1367,18,989,2,1825,2,0,0,0,0
'2016-12-29',1306,7,1515,27,1900,1,1847,8,2600,1,0,0
'2016-12-30',1225,9,1382,16,1581,5,1850,3,0,0,2400,1
'2016-12-31',1237,14,1392,17,1725,6,1847,2,1650,1,0,0
'2017-01-01',1202,6,1535,7,1500,1,1825,2,2600,1,0,0
'2017-01-02',1250,1,1200,1,1900,1,1847,2,1650,1,0,0
'2017-01-03',1225,3,1355,9,1884,3,1850,4,0,0,0,0
'2017-01-04',1225,15,1421,20,1892,4,800,2,2600,1,1,1
'2017-01-05',1249,21,1492,20,1625,9,0,0,0,0,0,0
'2017-01-06',1239,14,1370,25,1714,4,1845,1,0,0,0,0
'2017-01-07',1294,12,1485,13,1884,4,800,3,2600,1,0,0
'2017-01-08',1284,11,1424,18,1695,4,1800,1,0,0,0,0
'2017-01-09',1265,12,1380,10,1884,3,800,2,0,0,0,0
'2017-01-10',1205,19,1377,22,1695,3,0,0,2142,2,0,0
