date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1250,27,1363,50,1950,3,1850,12,0,0,0,0
'2016-12-16',1226,54,1374,122,1850,25,1899,24,2600,2,2800,2
'2016-12-17',1195,28,1370,41,1825,9,1825,10,1660,2,0,0
'2016-12-18',1255,19,1354,46,1675,8,1850,9,2600,3,0,0
'2016-12-19',1197,24,1425,41,1750,9,1850,7,0,0,0,0
'2016-12-20',1213,44,1374,105,1825,36,1800,22,2600,2,0,0
'2016-12-21',1215,46,1399,120,1750,28,1850,20,1495,1,2500,2
'2016-12-22',1230,46,1380,97,1895,28,1850,29,0,0,0,0
'2016-12-23',1254,19,1336,41,1812,16,1625,10,1880,2,0,0
'2016-12-24',1260,21,1387,30,1867,10,1825,8,1850,1,2800,1
'2016-12-25',1345,9,1452,12,1700,7,1712,6,0,0,0,0
'2016-12-26',950,1,1372,4,1575,4,1847,6,2600,1,0,0
