date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1650,2,1895,1,0,0,0,0,0,0,0,0
'2016-12-16',825,2,2600,1,0,0,0,0,0,0,0,0
'2016-12-17',764,5,1895,1,0,0,0,0,0,0,0,0
'2016-12-18',0,0,2716,2,0,0,0,0,0,0,0,0
'2016-12-19',2025,2,2658,8,0,0,0,0,0,0,0,0
'2016-12-20',764,6,2716,5,0,0,4500,1,0,0,0,0
'2016-12-21',0,0,2716,2,0,0,0,0,0,0,0,0
'2016-12-22',1625,2,1370,2,0,0,0,0,0,0,0,0
'2016-12-23',764,3,2695,1,0,0,0,0,0,0,0,0
'2016-12-24',1975,1,2716,4,0,0,0,0,0,0,0,0
'2016-12-25',1400,1,2447,2,0,0,0,0,0,0,0,0
'2016-12-26',764,3,0,0,0,0,0,0,0,0,0,0
'2016-12-27',1412,2,2716,4,0,0,0,0,0,0,0,0
'2016-12-28',1400,1,2716,3,3595,1,0,0,0,0,0,0
'2016-12-29',1369,2,2716,3,0,0,0,0,0,0,0,0
'2016-12-30',0,0,1075,1,0,0,0,0,0,0,0,0
'2016-12-31',1400,1,2725,6,0,0,0,0,0,0,0,0
