date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1549,4,1925,1,0,0,0,0,0,0,6695,1
'2016-12-16',1549,1,0,0,0,0,0,0,0,0,0,0
'2016-12-17',1549,2,0,0,0,0,3100,1,2600,1,6695,1
'2016-12-18',1549,1,2375,1,0,0,0,0,0,0,0,0
'2016-12-19',1549,1,0,0,0,0,0,0,0,0,0,0
'2016-12-20',1549,3,0,0,3000,1,0,0,0,0,6695,1
'2016-12-21',1620,3,2267,2,0,0,0,0,0,0,0,0
'2016-12-22',0,0,0,0,0,0,0,0,0,0,6695,1
'2016-12-23',901,2,2900,1,0,0,0,0,0,0,0,0
'2016-12-24',0,0,2375,1,0,0,2675,2,2600,1,6695,1
'2016-12-25',0,0,1900,1,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',0,0,0,0,3000,2,2250,2,0,0,6695,2
'2016-12-28',1549,4,0,0,0,0,0,0,0,0,0,0
'2016-12-29',0,0,0,0,0,0,0,0,0,0,6695,1
