date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1549,17,2100,17,2525,5,4900,3,0,0,6695,1
'2016-12-16',1730,15,2204,18,2575,2,2225,3,3500,5,0,0
'2016-12-17',1586,22,2000,14,2500,3,3200,5,2600,1,6695,1
'2016-12-18',1512,14,2319,10,2250,3,1200,1,1625,1,0,0
'2016-12-19',1537,12,1729,14,2500,5,2847,4,3160,2,0,0
'2016-12-20',1690,21,2247,17,2550,6,3295,4,3950,1,6695,1
'2016-12-21',1710,15,2160,17,2700,3,1200,1,2937,2,0,0
'2016-12-22',1599,13,2289,11,2370,6,2862,4,3120,1,6695,1
'2016-12-23',1610,17,2207,16,2400,3,0,0,0,0,0,0
'2016-12-24',1571,11,2264,12,2480,10,2995,5,3500,3,6695,1
'2016-12-25',1599,3,3299,6,1875,6,2662,2,1575,1,0,0
'2016-12-26',1100,3,2000,5,2295,5,2100,2,0,0,0,0
'2016-12-27',1525,18,2207,13,2297,12,2725,5,2725,2,6695,1
'2016-12-28',1695,18,2025,12,2397,10,3300,4,1575,1,0,0
