date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-16',0,0,0,0,2000,2,0,0,0,0,0,0
'2016-12-17',1620,2,0,0,1775,1,0,0,0,0,0,0
'2016-12-18',1750,2,2500,2,0,0,0,0,0,0,0,0
'2016-12-19',1730,1,0,0,1925,1,0,0,0,0,0,0
'2016-12-20',2350,2,0,0,1887,2,0,0,0,0,0,0
'2016-12-21',1668,2,0,0,0,0,0,0,0,0,0,0
'2016-12-22',1620,2,0,0,1812,2,0,0,0,0,0,0
'2016-12-23',1730,4,0,0,1737,2,0,0,0,0,0,0
'2016-12-24',1428,2,0,0,0,0,0,0,0,0,0,0
'2016-12-25',0,0,2355,1,1987,2,0,0,0,0,0,0
'2016-12-26',0,0,0,0,1379,2,0,0,0,0,0,0
'2016-12-27',1730,3,0,0,1700,3,0,0,0,0,0,0
'2016-12-28',1595,3,0,0,1925,1,0,0,0,0,0,0
'2016-12-29',0,0,0,0,1775,3,0,0,0,0,0,0
