date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1986,7,1960,15,2525,1,0,0,0,0,0,0
'2016-12-16',1893,6,1995,13,0,0,0,0,0,0,0,0
'2016-12-17',1893,11,1878,14,2500,1,0,0,0,0,0,0
'2016-12-18',1893,8,1703,16,2525,1,0,0,0,0,0,0
'2016-12-19',1800,7,1800,9,0,0,2300,1,0,0,0,0
'2016-12-20',1893,14,1880,14,0,0,0,0,0,0,0,0
'2016-12-21',1984,8,2410,14,2295,3,0,0,0,0,0,0
'2016-12-22',1939,8,1995,13,0,0,0,0,1000,1,0,0
'2016-12-23',1750,9,2250,13,1374,1,0,0,0,0,0,0
'2016-12-24',1893,7,2425,6,2410,2,0,0,0,0,0,0
'2016-12-25',1984,3,2403,4,0,0,0,0,0,0,0,0
'2016-12-26',1893,5,2489,4,1374,1,0,0,0,0,0,0
'2016-12-27',1838,8,2250,7,2295,1,0,0,0,0,0,0
'2016-12-28',1888,8,2569,7,900,1,0,0,0,0,0,0
'2016-12-29',1832,8,2436,3,0,0,0,0,1325,1,0,0
'2016-12-30',1800,13,2391,8,2272,4,0,0,0,0,0,0
'2016-12-31',1880,10,2403,10,0,0,0,0,0,0,0,0
'2017-01-01',1872,10,2372,5,3000,1,0,0,0,0,0,0
'2017-01-02',1761,5,2611,3,1597,2,0,0,0,0,0,0
'2017-01-03',1840,10,2372,9,2250,1,0,0,0,0,0,0
'2017-01-04',1852,13,2550,10,0,0,0,0,0,0,0,0
'2017-01-05',1884,14,2410,13,2295,1,0,0,0,0,0,0
'2017-01-06',1794,14,2521,8,2250,1,0,0,0,0,0,0
