date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1202,2,1849,1,2975,1,0,0,0,0,0,0
'2016-12-16',975,1,0,0,0,0,0,0,0,0,0,0
'2016-12-17',1430,3,0,0,0,0,0,0,0,0,0,0
'2016-12-18',1202,2,0,0,0,0,0,0,0,0,0,0
'2016-12-19',1430,5,0,0,2325,1,0,0,0,0,0,0
'2016-12-20',1202,2,0,0,0,0,0,0,0,0,0,0
'2016-12-21',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-22',975,2,0,0,2362,4,0,0,0,0,0,0
'2016-12-23',0,0,0,0,1177,1,0,0,0,0,0,0
'2016-12-24',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,1177,6,0,0,0,0,0,0
'2016-12-27',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-28',975,2,0,0,3300,2,0,0,0,0,0,0
'2016-12-29',0,0,1920,1,1117,2,0,0,0,0,0,0
'2016-12-30',975,1,0,0,1194,1,0,0,0,0,0,0
'2016-12-31',975,1,0,0,1905,2,0,0,0,0,0,0
'2017-01-01',975,1,0,0,1117,2,0,0,0,0,0,0
'2017-01-02',975,1,1920,1,1485,3,0,0,0,0,0,0
'2017-01-03',975,1,0,0,0,0,2600,1,0,0,0,0
'2017-01-04',975,1,0,0,1905,4,0,0,0,0,0,0
'2017-01-05',975,1,1869,1,1126,2,0,0,0,0,0,0
'2017-01-06',975,1,0,0,1485,1,0,0,0,0,0,0
