date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1268,2,0,0,0,0,2000,3,0,0,0,0
'2016-12-16',0,0,1455,1,1800,1,0,0,0,0,0,0
'2016-12-17',0,0,1365,1,0,0,0,0,0,0,0,0
'2016-12-18',1390,1,0,0,0,0,2000,1,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',1375,2,1542,4,2135,2,0,0,0,0,0,0
'2016-12-21',1485,1,1745,1,1650,2,1997,2,0,0,0,0
'2016-12-22',1275,3,1720,1,2135,1,0,0,0,0,2550,1
'2016-12-23',1273,2,1582,2,2135,1,0,0,0,0,0,0
'2016-12-24',1430,2,1537,2,1800,1,2000,1,0,0,0,0
'2016-12-25',1410,1,0,0,2135,1,1995,1,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',0,0,1354,2,0,0,2000,2,0,0,0,0
'2016-12-28',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-29',1358,3,1745,1,0,0,1995,1,0,0,0,0
'2016-12-30',1410,1,1570,2,1392,2,2000,1,0,0,2550,1
'2016-12-31',1477,2,1554,2,0,0,0,0,0,0,0,0
'2017-01-01',0,0,0,0,0,0,1995,1,0,0,0,0
'2017-01-02',0,0,0,0,0,0,0,0,0,0,2550,1
'2017-01-03',1105,4,1720,1,1850,1,2000,1,0,0,0,0
'2017-01-04',0,0,1745,1,2135,1,0,0,0,0,0,0
'2017-01-05',1410,3,0,0,1800,1,1995,1,0,0,0,0
'2017-01-06',1347,2,1720,2,0,0,2000,1,0,0,0,0
