date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1293,15,1525,14,1835,3,0,0,0,0,0,0
'2016-12-16',1253,15,2570,13,3300,4,0,0,0,0,0,0
'2016-12-17',1311,20,1483,23,1777,6,0,0,0,0,0,0
'2016-12-18',1378,15,2900,10,4000,3,0,0,0,0,0,0
'2016-12-19',1253,18,1542,10,1777,2,0,0,0,0,0,0
'2016-12-20',1253,13,2900,11,1720,7,0,0,0,0,0,0
'2016-12-21',1975,15,2795,12,2927,2,0,0,0,0,0,0
'2016-12-22',1398,13,2900,13,1855,5,0,0,0,0,0,0
'2016-12-23',1281,20,1495,8,1855,1,0,0,0,0,0,0
'2016-12-24',2000,9,2847,20,4000,4,0,0,0,0,0,0
'2016-12-25',1314,8,1380,7,1767,2,0,0,0,0,0,0
'2016-12-26',2245,7,2900,9,4000,2,0,0,0,0,0,0
'2016-12-27',2000,13,2795,10,1977,4,0,0,0,0,0,0
'2016-12-28',2522,4,3175,1,2860,2,0,0,0,0,0,0
'2016-12-29',1360,15,2850,19,1787,6,0,0,0,0,0,0
'2016-12-30',1987,12,2795,10,3050,2,0,0,0,0,0,0
'2016-12-31',1386,20,2900,9,1787,4,0,0,0,0,0,0
'2017-01-01',2000,2,2900,8,4000,3,0,0,0,0,0,0
'2017-01-02',2007,8,2900,9,4000,1,0,0,0,0,0,0
'2017-01-03',2395,11,2900,4,4000,1,0,0,0,0,0,0
'2017-01-04',1680,16,2682,10,1705,7,182,1,0,0,0,0
'2017-01-05',1400,21,2795,15,4000,1,0,0,0,0,0,0
'2017-01-06',1747,18,2525,15,2857,4,0,0,0,0,0,0
'2017-01-07',1360,11,2795,18,2832,2,0,0,0,0,0,0
'2017-01-08',2150,8,2847,8,4000,2,182,1,0,0,0,0
'2017-01-09',1666,10,2795,7,2805,2,0,0,0,0,0,0
'2017-01-10',2000,15,2900,11,1720,5,0,0,0,0,0,0
'2017-01-11',1350,16,1910,16,1850,3,0,0,0,0,0,0
