date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1450,17,1825,23,2665,4,0,0,0,0,0,0
'2016-12-16',1283,19,2570,21,3300,4,0,0,3950,1,0,0
'2016-12-17',1484,24,1850,39,1777,6,0,0,0,0,0,0
'2016-12-18',1622,20,2795,17,4000,3,0,0,0,0,0,0
'2016-12-19',1269,26,1563,15,1855,3,0,0,0,0,0,0
'2016-12-20',1315,19,2519,24,1787,8,0,0,3950,1,0,0
'2016-12-21',1950,25,2627,20,2927,2,3100,1,0,0,0,0
'2016-12-22',1920,18,2452,25,1782,6,0,0,0,0,0,0
'2016-12-23',1750,33,2275,21,2675,2,0,0,0,0,0,0
'2016-12-24',2000,13,2699,29,4000,5,0,0,0,0,0,0
'2016-12-25',1314,8,1770,11,1855,3,0,0,0,0,0,0
'2016-12-26',2272,8,2900,10,4000,2,0,0,0,0,0,0
'2016-12-27',2147,20,2452,19,1855,7,0,0,0,0,0,0
'2016-12-28',2061,10,2441,12,2860,2,3100,1,0,0,0,0
'2016-12-29',2000,22,2699,29,1855,7,0,0,0,0,0,0
'2016-12-30',2000,21,2452,19,2100,3,0,0,3900,1,0,0
'2016-12-31',1700,25,2699,20,1787,4,0,0,0,0,0,0
'2017-01-01',2000,5,2847,14,4000,3,0,0,0,0,0,0
'2017-01-02',2007,10,2795,19,3747,2,0,0,0,0,0,0
'2017-01-03',2059,20,2600,9,2554,2,1325,1,0,0,0,0
