date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,1905,2,2515,2,0,0,0,0,0,0
'2016-12-16',0,0,1900,3,0,0,0,0,0,0,0,0
'2016-12-17',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-18',0,0,1900,10,2515,2,0,0,0,0,0,0
'2016-12-19',0,0,1897,2,2515,1,0,0,0,0,0,0
'2016-12-20',0,0,1897,2,2275,1,0,0,0,0,0,0
'2016-12-21',0,0,1902,2,2515,1,0,0,0,0,0,0
'2016-12-22',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-23',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-24',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',0,0,1902,4,2515,2,0,0,0,0,0,0
'2016-12-28',0,0,1897,2,2460,1,0,0,0,0,0,0
'2016-12-29',0,0,1905,2,0,0,0,0,0,0,0,0
'2016-12-30',0,0,1905,1,0,0,0,0,0,0,0,0
'2016-12-31',0,0,1897,2,2460,1,0,0,0,0,0,0
'2017-01-01',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-02',0,0,1905,4,2395,4,0,0,0,0,0,0
'2017-01-03',0,0,1905,1,2487,2,0,0,0,0,0,0
