date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1745,5,1600,3,0,0,1782,1,0,0,0,0
'2016-12-16',1745,3,3026,1,2500,1,0,0,0,0,0,0
'2016-12-17',1710,1,2420,1,3100,2,2638,2,0,0,0,0
'2016-12-18',1745,3,2325,3,0,0,0,0,0,0,0,0
'2016-12-19',1700,3,0,0,2787,2,3495,1,0,0,0,0
'2016-12-20',2024,2,2395,3,3200,1,0,0,0,0,0,0
'2016-12-21',2046,4,2325,3,0,0,0,0,0,0,0,0
'2016-12-22',1710,3,1350,1,2575,1,0,0,0,0,0,0
'2016-12-23',1380,2,2195,3,3200,1,0,0,0,0,0,0
'2016-12-24',1750,3,2278,4,0,0,0,0,0,0,0,0
'2016-12-25',0,0,1925,1,0,0,0,0,0,0,0,0
'2016-12-26',1050,1,2100,1,0,0,0,0,0,0,0,0
'2016-12-27',1830,3,1962,2,0,0,3495,1,0,0,0,0
'2016-12-28',1745,4,1925,1,2712,2,0,0,0,0,0,0
'2016-12-29',1710,3,2172,2,2800,1,0,0,0,0,4200,1
'2016-12-30',1710,3,1962,2,0,0,0,0,0,0,0,0
'2016-12-31',1710,5,2112,2,2837,2,0,0,0,0,0,0
'2017-01-01',1730,1,0,0,0,0,3495,1,0,0,0,0
'2017-01-02',0,0,2100,1,2800,1,0,0,0,0,0,0
'2017-01-03',1750,3,2300,5,2925,2,3495,1,0,0,4200,1
'2017-01-04',1720,5,2820,1,2375,2,0,0,0,0,0,0
'2017-01-05',1745,3,2100,1,0,0,0,0,0,0,0,0
'2017-01-06',1770,2,2245,5,2925,2,0,0,0,0,0,0
'2017-01-07',2125,2,0,0,2375,2,3495,1,0,0,0,0
'2017-01-08',1740,3,2100,1,0,0,0,0,0,0,0,0
'2017-01-09',1730,4,1600,3,2925,2,0,0,0,0,0,0
'2017-01-10',1935,4,2335,2,2375,2,0,0,0,0,0,0
'2017-01-11',1903,4,2100,1,0,0,0,0,0,0,0,0
