date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1810,12,2460,8,3300,11,2420,3,2875,2,7000,1
'2016-12-16',1960,12,2275,11,3300,5,0,0,2875,2,0,0
'2016-12-16',1960,12,2275,11,3300,5,0,0,2875,2,0,0
'2016-12-17',1995,12,1962,8,3300,15,3795,1,0,0,7300,1
'2016-12-18',1750,17,2437,6,2900,5,0,0,7450,1,0,0
'2016-12-19',2325,9,2000,5,3300,10,0,0,0,0,0,0
'2016-12-20',1902,12,2200,7,3300,11,0,0,0,0,7000,1
'2016-12-21',2073,17,2405,10,2787,2,4800,1,2875,2,7000,1
'2016-12-22',2087,15,2325,8,3300,9,3795,1,0,0,7000,1
'2016-12-23',1750,19,2325,11,2900,7,0,0,6900,1,0,0
'2016-12-24',1780,10,2200,6,3300,6,3795,1,0,0,0,0
'2016-12-25',1295,5,1924,2,2200,1,2420,1,0,0,0,0
'2016-12-26',2245,3,1925,3,2575,3,0,0,0,0,0,0
