date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1550,2,1665,7,2287,6,2800,1,1650,1,0,0
'2016-12-16',1382,4,1590,7,1885,6,0,0,1217,1,0,0
'2016-12-17',1465,5,1627,6,1830,7,3500,1,1480,1,0,0
'2016-12-18',1580,4,1490,5,2037,6,2600,1,1217,1,0,0
'2016-12-19',1465,2,1686,7,1925,5,0,0,0,0,0,0
'2016-12-20',1575,3,1724,6,1830,9,3700,1,1650,1,0,0
'2016-12-21',1512,6,1665,7,2272,6,0,0,1217,1,0,0
'2016-12-22',1107,2,1595,4,2000,9,0,0,0,0,0,0
'2016-12-23',1490,6,1657,8,1925,7,0,0,1433,2,0,0
'2016-12-24',1459,3,1765,5,2300,9,3500,1,0,0,0,0
'2016-12-25',1259,2,1890,3,2130,3,0,0,0,0,0,0
'2016-12-26',1000,1,0,0,2150,3,0,0,1650,1,0,0
'2016-12-27',1395,1,1600,1,2150,12,2600,1,1950,1,0,0
'2016-12-28',1480,4,1890,5,2150,9,0,0,1217,1,0,0
