date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',5241336,2,1433,3,1810,1,0,0,0,0,0,0
'2016-12-16',1310,1,1560,1,0,0,0,0,0,0,0,0
'2016-12-17',1425,1,1520,2,0,0,0,0,0,0,0,0
'2016-12-18',10481248,1,12951495,1,0,0,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-21',1290,2,1424,4,0,0,0,0,0,0,0,0
'2016-12-22',1194,2,1512,2,1900,1,0,0,0,0,0,0
'2016-12-23',1295,1,1415,1,0,0,0,0,0,0,0,0
'2016-12-24',1360,1,0,0,0,0,0,0,0,0,0,0
