date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1525,51,1620,95,1995,22,1850,6,107,1,0,0
'2016-12-16',1450,102,1570,124,1935,32,2200,10,2600,3,0,0
'2016-12-16',1450,97,1550,121,1935,30,2200,9,2720,2,0,0
'2016-12-17',1457,94,1540,125,2000,40,1875,16,2895,1,0,0
'2016-12-18',1416,98,1576,115,1818,28,1850,11,1995,3,0,0
'2016-12-19',1434,92,1538,111,1904,26,2214,15,2547,4,0,0
'2016-12-20',1450,89,1538,126,1927,46,2099,4,2860,1,0,0
'2016-12-21',1412,87,1576,131,2100,31,1850,13,0,0,0,0
'2016-12-22',1439,91,1545,119,1995,54,1850,11,2872,2,0,0
'2016-12-23',1428,108,1581,121,1843,39,2400,7,0,0,0,0
'2016-12-24',1437,84,1611,101,1938,36,1850,12,2395,7,0,0
'2016-12-25',1418,85,1600,112,1925,26,1581,3,2075,4,0,0
'2016-12-26',1420,78,1608,73,1787,24,1850,13,0,0,0,0
'2016-12-27',1425,74,1649,109,1927,45,1850,10,1950,3,0,0
'2016-12-28',1435,100,1649,110,1925,32,2600,7,2075,4,0,0
'2016-12-29',1385,89,1600,138,1950,35,1850,14,2860,2,0,0
'2016-12-30',1441,88,1608,114,1927,41,1850,11,1950,3,0,0
'2016-12-31',1371,76,1565,117,2099,23,765,3,2800,3,0,0
'2017-01-01',1440,59,1538,69,1995,25,1850,1,0,0,0,0
'2017-01-02',1336,70,1553,96,1725,33,1850,11,1650,2,0,0
'2017-01-03',1431,79,1600,103,1927,41,1850,11,0,0,0,0
'2017-01-04',1418,82,1615,145,2015,39,3732,8,2895,2,0,0
'2017-01-05',1439,98,1543,100,1934,38,2487,2,0,0,0,0
'2017-01-06',1408,91,1578,148,1942,42,1600,6,0,0,0,0
