date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1690,4,1770,2,2176,1,1782,1,0,0,0,0
'2016-12-16',1503,1,0,0,2176,1,0,0,0,0,0,0
'2016-12-17',1445,3,1753,1,1686,2,1782,1,0,0,0,0
'2016-12-18',1763,3,1793,1,2176,1,0,0,0,0,0,0
'2016-12-19',1618,1,1755,2,0,0,0,0,0,0,0,0
'2016-12-20',1618,3,1783,1,0,0,0,0,0,0,0,0
'2016-12-21',1667,6,0,0,1196,1,0,0,3250,1,0,0
'2016-12-22',1617,5,1660,1,2126,1,0,0,0,0,0,0
'2016-12-23',1617,1,1699,2,0,0,0,0,0,0,0,0
'2016-12-24',1762,1,1732,1,1196,1,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',1621,4,1667,2,1196,2,0,0,0,0,0,0
'2016-12-28',1862,2,1708,1,2126,1,0,0,0,0,0,0
'2016-12-29',1617,1,1558,2,2126,1,0,0,0,0,0,0
'2016-12-30',1607,4,0,0,1196,1,0,0,0,0,0,0
'2016-12-31',1617,3,0,0,2126,1,0,0,0,0,0,0
'2017-01-01',1612,2,1893,1,0,0,0,0,3250,1,0,0
'2017-01-02',0,0,0,0,1196,1,0,0,0,0,0,0
'2017-01-03',1534,4,1669,2,0,0,0,0,0,0,0,0
