date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,2100,3,3200,1,0,0,0,0
'2016-12-16',1430,1,0,0,1995,11,2175,2,0,0,0,0
'2016-12-17',1437,2,0,0,2100,7,2750,2,0,0,0,0
'2016-12-18',1437,2,0,0,2100,9,0,0,0,0,0,0
'2016-12-19',1430,3,0,0,2100,6,2600,2,0,0,0,0
'2016-12-20',0,0,0,0,2150,6,2300,1,0,0,0,0
'2016-12-21',675,1,0,0,2100,9,2600,2,0,0,0,0
'2016-12-22',1369,2,1669,2,2100,7,2300,1,0,0,0,0
'2016-12-23',1470,3,1785,1,2100,7,3200,1,0,0,0,0
'2016-12-24',1445,1,0,0,2200,4,0,0,0,0,0,0
'2016-12-25',0,0,0,0,2100,4,0,0,0,0,0,0
'2016-12-26',0,0,0,0,2025,4,3200,1,0,0,0,0
'2016-12-27',0,0,0,0,2100,6,0,0,0,0,0,0
'2016-12-28',1430,1,0,0,1950,5,0,0,0,0,0,0
'2016-12-29',0,0,0,0,2100,4,3200,1,0,0,0,0
